Soil_ID; SNAM
13;soil13
30;soil30
32;soil32
37;soil37
51;soil51
73;soil73
90;soil90
91;soil91
107;soil107
112;soil112
120;soil120
146;soil146
153;soil153
155;soil155
158;soil158
163;soil163
204;soil204
272;soil272
415;soil415
475;soil475
505;soil505
516;soil516
528;soil528
529;soil529
530;soil530
734;soil734
735;soil735
736;soil736
791;soil791
861;soil861
862;soil862
914;soil914
949;soil949
1149;soil1149
1150;soil1150
1329;soil1329
1330;soil1330
1339;soil1339
1340;soil1340
1341;soil1341
1347;soil1347
1348;soil1348
1362;soil1362
1365;soil1365
1367;soil1367
1368;soil1368
1382;soil1382
1405;soil1405
1406;soil1406
1407;soil1407
1408;soil1408
1494;soil1494
1495;soil1495
1515;soil1515
1518;soil1518
1519;soil1519
1602;soil1602
1613;soil1613
1667;soil1667
1669;soil1669
1679;soil1679
1702;soil1702
1735;soil1735
1750;soil1750
1845;soil1845
1854;soil1854
1857;soil1857
1923;soil1923
1925;soil1925
1926;soil1926
2025;soil2025
2155;soil2155
2185;soil2185
2186;soil2186
2187;soil2187
2193;soil2193
2206;soil2206
2207;soil2207
2212;soil2212
2213;soil2213
2283;soil2283
2310;soil2310
2312;soil2312
2316;soil2316
2322;soil2322
2349;soil2349
2350;soil2350
2351;soil2351
2353;soil2353
2375;soil2375
2398;soil2398
2435;soil2435
2436;soil2436
2437;soil2437
2441;soil2441
2483;soil2483
2484;soil2484
2486;soil2486
2487;soil2487
2593;soil2593
2595;soil2595
2614;soil2614
2632;soil2632
2633;soil2633
2782;soil2782
2786;soil2786
2787;soil2787
2793;soil2793
2815;soil2815
2816;soil2816
2822;soil2822
2864;soil2864
2889;soil2889
2903;soil2903
2905;soil2905
2906;soil2906
2936;soil2936
2937;soil2937
2938;soil2938
2947;soil2947
3001;soil3001
3009;soil3009
3011;soil3011
3018;soil3018
3046;soil3046
3049;soil3049
3054;soil3054
3063;soil3063
3075;soil3075
3094;soil3094
3095;soil3095
3096;soil3096
3127;soil3127
3198;soil3198
3202;soil3202
3217;soil3217
3218;soil3218
3229;soil3229
3231;soil3231
3232;soil3232
3253;soil3253
3257;soil3257
3285;soil3285
3286;soil3286
3291;soil3291
3302;soil3302
3308;soil3308
3335;soil3335
3340;soil3340
3345;soil3345
3357;soil3357
3364;soil3364
3369;soil3369
3373;soil3373
3375;soil3375
3383;soil3383
3391;soil3391
3399;soil3399
3404;soil3404
3416;soil3416
3437;soil3437
3444;soil3444
3445;soil3445
3464;soil3464
3492;soil3492
3498;soil3498
3504;soil3504
3505;soil3505
3507;soil3507
3517;soil3517
3523;soil3523
3541;soil3541
3545;soil3545
3555;soil3555
3560;soil3560
3581;soil3581
3585;soil3585
3631;soil3631
3645;soil3645
3660;soil3660
3680;soil3680
3694;soil3694
3695;soil3695
3702;soil3702
3703;soil3703
3705;soil3705
3707;soil3707
3739;soil3739
3786;soil3786
3827;soil3827
3838;soil3838
3861;soil3861
3866;soil3866
3890;soil3890
3914;soil3914
3921;soil3921
3929;soil3929
3945;soil3945
3965;soil3965
3985;soil3985
4020;soil4020
4048;soil4048
4054;soil4054
4061;soil4061
4078;soil4078
4082;soil4082
4085;soil4085
4110;soil4110
4122;soil4122
4123;soil4123
4124;soil4124
4131;soil4131
4161;soil4161
4188;soil4188
4197;soil4197
4210;soil4210
4218;soil4218
4227;soil4227
4237;soil4237
4240;soil4240
4251;soil4251
4288;soil4288
4289;soil4289
4292;soil4292
4294;soil4294
4297;soil4297
4311;soil4311
4320;soil4320
4322;soil4322
4323;soil4323
4333;soil4333
4334;soil4334
4351;soil4351
4359;soil4359
4360;soil4360
4363;soil4363
4375;soil4375
4388;soil4388
4402;soil4402
4407;soil4407
4414;soil4414
4425;soil4425
4475;soil4475
4479;soil4479
4485;soil4485
4503;soil4503
4510;soil4510
4511;soil4511
4522;soil4522
4525;soil4525
4531;soil4531
4554;soil4554
4573;soil4573
4586;soil4586
4587;soil4587
4591;soil4591
4606;soil4606
4608;soil4608
4613;soil4613
4625;soil4625
4632;soil4632
4666;soil4666
4675;soil4675
4676;soil4676
4680;soil4680
4695;soil4695
4697;soil4697
4701;soil4701
4725;soil4725
4739;soil4739
4746;soil4746
4748;soil4748
4808;soil4808
4809;soil4809
4810;soil4810
4813;soil4813
4826;soil4826
4849;soil4849
4869;soil4869
4872;soil4872
4887;soil4887
4888;soil4888
4925;soil4925
4931;soil4931
4933;soil4933
4934;soil4934
4935;soil4935
5059;soil5059
5090;soil5090
5103;soil5103
5153;soil5153
5233;soil5233
5234;soil5234
5239;soil5239
5241;soil5241
5242;soil5242
5243;soil5243
5246;soil5246
5248;soil5248
5249;soil5249
5250;soil5250
5251;soil5251
5253;soil5253
5254;soil5254
5261;soil5261
5497;soil5497
5505;soil5505
5713;soil5713
5728;soil5728
5729;soil5729
5802;soil5802
5857;soil5857
5858;soil5858
5946;soil5946
5955;soil5955
5982;soil5982
5985;soil5985
5995;soil5995
5996;soil5996
5999;soil5999
6001;soil6001
6002;soil6002
6003;soil6003
6005;soil6005
6265;soil6265
6266;soil6266
6267;soil6267
6269;soil6269
6270;soil6270
6271;soil6271
6272;soil6272
6273;soil6273
6274;soil6274
6279;soil6279
6280;soil6280
6281;soil6281
6282;soil6282
6283;soil6283
6285;soil6285
6286;soil6286
6287;soil6287
6288;soil6288
6289;soil6289
6301;soil6301
6302;soil6302
6303;soil6303
6420;soil6420
6421;soil6421
6439;soil6439
6502;soil6502
6812;soil6812
6814;soil6814
6829;soil6829
6865;soil6865
6878;soil6878
6888;soil6888
6890;soil6890
6904;soil6904
6966;soil6966
6967;soil6967
7037;soil7037
7059;soil7059
7106;soil7106
7107;soil7107
7214;soil7214
7228;soil7228
7229;soil7229
7324;soil7324
7333;soil7333
7347;soil7347
7358;soil7358
7359;soil7359
7382;soil7382
7430;soil7430
7440;soil7440
7477;soil7477
7481;soil7481
7504;soil7504
7510;soil7510
7523;soil7523
7542;soil7542
7590;soil7590
7613;soil7613
7614;soil7614
7688;soil7688
7689;soil7689
7749;soil7749
7750;soil7750
7751;soil7751
7757;soil7757
7758;soil7758
7794;soil7794
7798;soil7798
7799;soil7799
7808;soil7808
7812;soil7812
7830;soil7830
7840;soil7840
7841;soil7841
7843;soil7843
7857;soil7857
7858;soil7858
7908;soil7908
7927;soil7927
7928;soil7928
7929;soil7929
7978;soil7978
7980;soil7980
7982;soil7982
7983;soil7983
7984;soil7984
7996;soil7996
8002;soil8002
8003;soil8003
8021;soil8021
8023;soil8023
8065;soil8065
8070;soil8070
8079;soil8079
8121;soil8121
8122;soil8122
8125;soil8125
8126;soil8126
8136;soil8136
8147;soil8147
8191;soil8191
8192;soil8192
8213;soil8213
8322;soil8322
8344;soil8344
8350;soil8350
8400;soil8400
8454;soil8454
8455;soil8455
8467;soil8467
8488;soil8488
8496;soil8496
8543;soil8543
8595;soil8595
8596;soil8596
8604;soil8604
8642;soil8642
8648;soil8648
8664;soil8664
8674;soil8674
8676;soil8676
8678;soil8678
8681;soil8681
8682;soil8682
8683;soil8683
8684;soil8684
8693;soil8693
8694;soil8694
8700;soil8700
8701;soil8701
8702;soil8702
8703;soil8703
8705;soil8705
8710;soil8710
8711;soil8711
8713;soil8713
8714;soil8714
8715;soil8715
8716;soil8716
8718;soil8718
8724;soil8724
8729;soil8729
8743;soil8743
8766;soil8766
8772;soil8772
8773;soil8773
8774;soil8774
8786;soil8786
8806;soil8806
8807;soil8807
8808;soil8808
8810;soil8810
8817;soil8817
8821;soil8821
8831;soil8831
8835;soil8835
8843;soil8843
8845;soil8845
8846;soil8846
