OBJECTID;MUID;SEQN;SNAM;S5ID;CMPPCT;NLAYERS;HYDGRP;SOL_ZMX;ANION_EXCL;SOL_CRK;TEXTURE;SOL_Z1;SOL_BD1;SOL_AWC1;SOL_K1;SOL_CBN1;CLAY1;SILT1;SAND1;ROCK1;SOL_ALB1;USLE_K1;SOL_EC1;SOL_Z2;SOL_BD2;SOL_AWC2;SOL_K2;SOL_CBN2;CLAY2;SILT2;SAND2;ROCK2;SOL_ALB2;USLE_K2;SOL_EC2;SOL_Z3;SOL_BD3;SOL_AWC3;SOL_K3;SOL_CBN3;CLAY3;SILT3;SAND3;ROCK3;SOL_ALB3;USLE_K3;SOL_EC3;SOL_Z4;SOL_BD4;SOL_AWC4;SOL_K4;SOL_CBN4;CLAY4;SILT4;SAND4;ROCK4;SOL_ALB4;USLE_K4;SOL_EC4;SOL_Z5;SOL_BD5;SOL_AWC5;SOL_K5;SOL_CBN5;CLAY5;SILT5;SAND5;ROCK5;SOL_ALB5;USLE_K5;SOL_EC5;SOL_Z6;SOL_BD6;SOL_AWC6;SOL_K6;SOL_CBN6;CLAY6;SILT6;SAND6;ROCK6;SOL_ALB6;USLE_K6;SOL_EC6;SOL_Z7;SOL_BD7;SOL_AWC7;SOL_K7;SOL_CBN7;CLAY7;SILT7;SAND7;ROCK7;SOL_ALB7;USLE_K7;SOL_EC7;SOL_Z8;SOL_BD8;SOL_AWC8;SOL_K8;SOL_CBN8;CLAY8;SILT8;SAND8;ROCK8;SOL_ALB8;USLE_K8;SOL_EC8;SOL_Z9;SOL_BD9;SOL_AWC9;SOL_K9;SOL_CBN9;CLAY9;SILT9;SAND9;ROCK9;SOL_ALB9;USLE_K9;SOL_EC9;SOL_Z10;SOL_BD10;SOL_AWC10;SOL_K10;SOL_CBN10;CLAY10;SILT10;SAND10;ROCK10;SOL_ALB10;USLE_K10;SOL_EC10;SOL_CAL1;SOL_CAL2;SOL_CAL3;SOL_CAL4;SOL_CAL5;SOL_CAL6;SOL_CAL7;SOL_CAL8;SOL_CAL9;SOL_CAL10;SOL_PH1;SOL_PH2;SOL_PH3;SOL_PH4;SOL_PH5;SOL_PH6;SOL_PH7;SOL_PH8;SOL_PH9;SOL_PH10
13;;;soil13;;;8;D;100;0,5;0,5;;150;1,4827;0,1;99;1,682;16;31;53;8;0,23;0,13;0;300;1,4961;0,13;83,33;1,566;16;31;53;8;0,23;0,13;0;450;1,6836;0,11;33,33;0,348;17;31;52;9;0,23;0,13;0;600;1,6987;0,11;33,33;0,29;17;31;52;9;0,23;0,13;0;750;1,7057;0,11;33,33;0,29;18;30;54;9;0,23;0,13;0;900;1,6997;0,11;33,33;0,29;17;30;53;9;0,23;0,13;0;1050;1,858;0,11;33,33;0;17;28;53;9;0,23;0,13;0;1200;1,86;0,11;33,33;0;17;28;55;9;0,23;0,13;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
30;;;soil30;;;8;C;94;0,5;0,5;;150;1,4647;0,1;99;1,682;14;27;59;11;0,23;0,13;0;300;1,4647;0,13;83,33;1,682;14;27;59;12;0,23;0,13;0;450;1,6937;0,11;33,33;0,29;15;26;57;12;0,23;0,13;0;600;1,6987;0,11;33,33;0,29;16;27;57;12;0,23;0,13;0;750;1,6987;0,11;33,33;0,29;16;27;57;12;0,23;0,13;0;900;1,7047;0,11;33,33;0,29;17;26;58;12;0,23;0,13;0;1050;1,7872;0,11;33,33;0,058;16;25;58;12;0,23;0,13;0;1200;1,7882;0,11;33,33;0,058;16;25;59;12;0,23;0,13;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
32;;;soil32;;;8;B;90;0,5;0,5;;150;1,4608;0,1;99;1,798;15;26;59;13;0,23;0,13;0;300;1,4672;0,13;83,33;1,74;15;25;59;13;0,23;0,13;0;450;1,7057;0,11;33,33;0,29;17;25;59;13;0,23;0,13;0;600;1,7097;0,11;33,33;0,29;18;24;58;13;0,23;0,13;0;750;1,7254;0,11;33,33;0,232;18;25;57;13;0,23;0,13;0;900;1,7194;0,11;33,33;0,232;17;25;56;13;0,23;0,13;0;1050;1,869;0,11;33,33;0;18;25;59;14;0,23;0,13;0;1200;1,867;0,11;33,33;0;18;25;57;14;0,23;0,13;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
37;;;soil37;;;8;B;87;0,5;0,5;;150;1,4582;0,1;99;1,74;14;28;60;12;0,23;0,13;0;300;1,4582;0,13;83,33;1,74;14;28;58;12;0,23;0,13;0;450;1,7104;0,11;33,33;0,232;15;28;57;12;0,23;0,13;0;600;1,7204;0,11;33,33;0,232;17;28;57;12;0,23;0,13;0;750;1,7087;0,11;33,33;0,29;18;27;57;12;0,23;0,13;0;900;1,7264;0,11;33,33;0,232;18;26;58;12;0,23;0,13;0;1050;1,867;0,11;33,33;0;18;25;57;13;0,23;0,13;0;1200;1,868;0,11;33,33;0;18;26;58;13;0,23;0,13;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
51;;;soil51;;;8;A;92;0,5;0,5;;150;1,4698;0,1;99;1,798;16;28;56;12;0,23;0,13;0;300;1,4762;0,13;83,33;1,74;16;28;56;12;0,23;0,13;0;450;1,7027;0,11;33,33;0,29;17;27;56;13;0,23;0,13;0;600;1,7087;0,11;33,33;0,29;18;27;57;13;0,23;0,13;0;750;1,7234;0,11;33,33;0,232;18;27;55;13;0,23;0,13;0;900;1,7194;0,11;33,33;0,232;17;27;56;13;0,23;0,13;0;1050;1,862;0,11;33,33;0;17;26;57;13;0,23;0,13;0;1200;1,862;0,11;33,33;0;17;26;57;13;0,23;0,13;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
73;;;soil73;;;8;D;98;0,5;0,5;;150;1,4672;0,1;99;1,74;15;27;58;9;0,23;0,13;0;300;1,494;0,13;83,33;1,508;15;27;58;9;0,23;0,13;0;450;1,6786;0,11;33,33;0,348;15;28;57;9;0,23;0,13;0;600;1,6927;0,11;33,33;0,29;15;27;56;10;0,23;0,13;0;750;1,7154;0,11;33,33;0,232;16;27;57;10;0,23;0,13;0;900;1,7154;0,11;33,33;0,232;16;27;57;10;0,23;0,13;0;1050;1,858;0,11;33,33;0;16;26;58;10;0,23;0,13;0;1200;1,859;0,11;33,33;0;16;25;59;10;0,23;0,13;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
90;;;soil90;;;8;B;93;0,5;0,5;;150;1,4698;0,1;99;1,798;16;28;56;12;0,23;0,13;0;300;1,4762;0,13;83,33;1,74;16;28;56;12;0,23;0,13;0;450;1,7027;0,11;33,33;0,29;17;27;56;12;0,23;0,13;0;600;1,7077;0,11;33,33;0,29;18;26;56;13;0,23;0,13;0;750;1,7234;0,11;33,33;0,232;18;27;55;13;0,23;0,13;0;900;1,7184;0,11;33,33;0,232;17;26;55;13;0,23;0,13;0;1050;1,863;0,11;33,33;0;17;25;58;13;0,23;0,13;0;1200;1,862;0,11;33,33;0;17;26;57;13;0,23;0,13;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
91;;;soil91;;;8;A;95;0,5;0,5;;150;1,4647;0,1;99;1,682;14;25;61;7;0,23;0,13;0;300;1,4647;0,13;83,33;1,682;14;25;61;7;0,23;0,13;0;450;1,6927;0,11;33,33;0,29;15;27;56;7;0,23;0,13;0;600;1,6937;0,11;33,33;0,29;15;28;57;7;0,23;0,13;0;750;1,7154;0,11;33,33;0,232;16;27;57;7;0,23;0,13;0;900;1,7094;0,11;33,33;0,232;15;27;56;7;0,23;0,13;0;1050;1,852;0,11;33,33;0;15;27;57;7;0,23;0,13;0;1200;1,853;0,11;33,33;0;15;27;58;7;0,23;0,13;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
107;;;soil107;;;8;A;80;0,5;0,5;;150;1,4582;0,1;99;1,74;14;27;59;15;0,23;0,13;0;300;1,4713;0,13;83,33;1,624;14;27;59;15;0,23;0,13;0;450;1,6957;0,11;33,33;0,29;15;28;59;15;0,23;0,13;0;600;1,6937;0,11;33,33;0,29;15;28;57;15;0,23;0,13;0;750;1,7519;0,11;33,33;0,116;15;28;57;14;0,23;0,13;0;900;1,7519;0,11;33,33;0,116;15;26;57;14;0,23;0,13;0;1050;1,854;0,11;33,33;0;15;26;59;14;0,23;0,13;0;1200;1,854;0,11;33,33;0;15;26;59;14;0,23;0,13;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
112;;;soil112;;;8;A;98;0,5;0,5;;150;1,5097;0,1;99;1,682;19;34;46;13;0,23;0,13;0;300;1,5163;0,13;83,33;1,624;19;34;47;13;0,23;0,13;0;450;1,7157;0,11;33,33;0,29;21;31;49;14;0,23;0,13;0;600;1,7177;0,11;33,33;0,29;21;28;51;14;0,23;0,13;0;750;1,7127;0,11;33,33;0,29;20;27;51;14;0,23;0,13;0;900;1,7224;0,11;33,33;0,232;18;26;54;14;0,23;0,13;0;1050;1,867;0,11;33,33;0;18;25;57;14;0,23;0,13;0;1200;1,873;0,11;33,33;0;19;25;58;14;0,23;0,13;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
